Test acc,Training acc,Test time,Training time,Epochs,Training size,Batchsize,Learning rate,Momentum,EpochLrDecrease,Backprop prob,Seed,Hidden Units1
80,91.36069,0.0002369,0.0110174,5,463,64,0.005589886,0.3660572,0.8896104,0.92235637,73251,48
71,76.01078,0.0002372,0.0067687,4,371,56,0.007881895,0.104820326,0.8682456,0.81139404,75237,21
81,93.34719,0.0002474,0.0085127,4,481,59,0.0063197105,0.5795604,0.85822994,0.814661,85067,48
78,91.15854,0.0002137,0.0105313,5,328,27,0.003948901,0.40832314,0.8907869,0.8555617,82315,41
70,73.19277,0.0001928,0.0042194,3,332,74,0.005816906,0.2201044,0.8886531,0.8969559,40011,24
73,85.01362,0.0002122,0.0102406,3,367,13,0.0057597253,0.15374902,0.8141793,0.839551,77238,32
63,67.202576,0.0002155,0.0060766,4,311,59,0.0017241369,0.10030485,0.8068437,0.92325056,61067,22
70,82.22222,0.0001976,0.0050099,4,315,73,0.004787646,0.58149695,0.8149898,0.895884,4702,21
79,86.49351,0.0002332,0.0080935,3,385,20,0.009476652,0.232134,0.8647776,0.9271605,47484,36
72,77.86667,0.0002357,0.0074135,4,375,57,0.0028252401,0.12960318,0.8398291,0.893909,45995,42
82,87.9717,0.0002511,0.0080471,4,424,57,0.009651745,0.27578226,0.80383784,0.894956,75220,50
81,92.27166,0.0001842,0.0119892,3,427,11,0.009671022,0.49024925,0.8138588,0.8596615,41038,39
76,87.53462,0.0002578,0.0075969,5,361,86,0.0072248867,0.10882899,0.84298927,0.9190114,31896,43
75,88.27361,0.0002086,0.0104294,5,307,20,0.004467001,0.5715749,0.8255303,0.95266557,11672,20
77,66.76301,0.0002651,0.0041166,3,346,99,0.005741276,0.54749453,0.8073754,0.8286578,55665,50
84,90.18405,0.0002214,0.0242883,5,489,11,0.0035464386,0.42485237,0.8467132,0.93977654,98455,26
76,85.12659,0.0002311,0.0080444,5,316,60,0.0024031503,0.2715982,0.8607456,0.8899355,56229,50
83,92.57028,0.0002042,0.0109945,4,498,23,0.009284258,0.49407467,0.87413967,0.86162025,78450,28
65,76.97517,0.0001755,0.0069036,4,443,99,0.0058932365,0.1911582,0.85179794,0.9141382,86719,28
73,85.36585,0.0002219,0.0072992,4,369,69,0.009759215,0.16318847,0.827838,0.8319572,65699,45
82,91.1271,7.58E-05,0.0116794,5,417,41,0.003836016,0.17877743,0.8502759,0.8388367,85599,49
81,88.469604,9.1E-05,0.0089303,5,477,46,0.0034485646,0.35583898,0.89757496,0.8616053,78765,29
76,87.666664,7.67E-05,0.0085418,4,300,18,0.0066092405,0.1723991,0.81179357,0.92957574,71665,44
78,94.670845,6.43E-05,0.004785,5,319,34,0.008657842,0.5481055,0.823959,0.97728497,59813,50
77,75.98784,7.36E-05,0.0017709,4,329,100,0.006471534,0.3045963,0.87802386,0.95586765,19867,35
48,51.412426,6.77E-05,0.0014925,3,354,90,0.0074748495,0.13473256,0.80092764,0.84183335,83120,42
70,60.43011,6.73E-05,0.0018857,3,465,78,0.008432432,0.5087683,0.8549067,0.8899892,68363,25
81,94.25051,7.73E-05,0.0086286,5,487,21,0.008356554,0.13816355,0.81655186,0.9852914,21127,46
82,92.32365,6.73E-05,0.0064291,5,482,29,0.008092706,0.37362093,0.889103,0.99061817,55374,39
66,67.81326,7.18E-05,0.003345,4,407,41,0.0012557389,0.16192496,0.8553372,0.86408305,58250,28
77,87.64045,5.18E-05,0.0022347,4,356,69,0.007862882,0.3609789,0.8878845,0.899278,51700,32
84,93.67682,5.93E-05,0.0031217,4,427,61,0.009152928,0.3857216,0.83507156,0.93742144,6055,37
78,83.878,6.32E-05,0.0039403,3,459,25,0.0033707954,0.14856282,0.8603413,0.82214797,40182,37
64,65.864334,5.31E-05,0.002244,4,457,99,0.009143773,0.3265875,0.89233285,0.8175741,68791,35
75,62.34414,9.78E-05,0.0019776,3,401,70,0.0018860591,0.42463103,0.82974166,0.9023645,43630,31
77,80.379745,5.27E-05,0.0020289,3,474,76,0.009047584,0.37510988,0.84270644,0.8830956,2036,22
78,90.98901,7.82E-05,0.0103271,5,455,12,0.0065399725,0.14714509,0.8129446,0.9023124,69798,39
71,81.097565,5.46E-05,0.002614,4,328,44,0.0053837276,0.16551197,0.8253625,0.8752819,82224,36
82,88.68361,7.76E-05,0.0049045,5,433,31,0.008836801,0.21473987,0.8666054,0.8791135,76753,41
80,90.61834,7.93E-05,0.0041886,3,469,21,0.006948082,0.57003844,0.82108396,0.91830945,52951,29
78,90.53498,4.78E-05,0.0049351,5,486,39,0.007591155,0.15003449,0.89877295,0.9467598,86743,33
73,85.51136,6.75E-05,0.0028299,3,352,31,0.00818904,0.37095225,0.88619816,0.99837005,72462,28
81,79.27631,7.89E-05,0.0019246,4,304,68,0.008401542,0.11186154,0.8494274,0.92997605,47044,30
79,87.84648,5.43E-05,0.0029461,5,469,88,0.007944596,0.47044048,0.8333041,0.8893635,27110,23
79,91.70507,6.75E-05,0.0027713,4,434,72,0.0072010327,0.2371387,0.80967784,0.80748135,9819,36
75,67.285385,7.97E-05,0.0021068,3,431,89,0.0027243593,0.5702599,0.88660175,0.97403723,95633,47
82,93.71069,7.08E-05,0.0058525,5,318,18,0.009890914,0.33879885,0.86240095,0.95986986,61335,46
78,92.26667,7.7E-05,0.0055116,5,375,20,0.0076355725,0.49988356,0.86398345,0.83286816,62376,39
78,75.201614,7.51E-05,0.004296,5,496,64,0.0016038548,0.14180422,0.8203427,0.9748029,6785,41
73,88.28571,9.36E-05,0.0047406,4,350,19,0.004795343,0.39838997,0.8106267,0.87536645,20440,41
74,83.09859,6.69E-05,0.0042469,5,355,31,0.0037660627,0.13016681,0.80398035,0.9543343,87374,23
81,93.73041,6.97E-05,0.0056111,5,319,17,0.009730098,0.41693193,0.86821485,0.9509383,82999,41
77,91.40812,5.21E-05,0.0033936,4,419,52,0.006813919,0.40823054,0.875696,0.81461596,77115,20
85,74.044266,5.74E-05,0.0030596,5,497,84,0.003700296,0.53319585,0.80702114,0.86553985,78979,23
73,91.45728,4.93E-05,0.0052767,3,398,11,0.009039168,0.357107,0.801137,0.83200914,59806,33
79,80.41237,6.22E-05,0.0024593,4,388,70,0.004761169,0.43735206,0.86150014,0.84626055,45476,30
74,84.68208,5.87E-05,0.0040576,4,346,48,0.009217353,0.4242785,0.84634304,0.9659556,10602,23
81,79.48718,5.4E-05,0.0028358,5,429,74,0.0066622687,0.49557513,0.8904719,0.82546914,87727,27
76,80.14018,7.99E-05,0.0033495,5,428,96,0.0044506923,0.18854997,0.80801386,0.8784049,73700,44
66,68.60465,6.64E-05,0.0052026,4,344,15,0.0016691365,0.19590369,0.8900035,0.86459166,87610,33
45,39.739414,5.49E-05,0.0011752,3,307,84,0.00859319,0.22740546,0.88164294,0.9838733,52201,21
76,87.94788,6.67E-05,0.0039176,4,307,23,0.0060539567,0.3375403,0.84103256,0.94483846,94622,44
80,89.04959,6.49E-05,0.0042306,4,484,31,0.007158252,0.24330388,0.8286609,0.96213096,64018,22
76,87.78281,7.09E-05,0.0054397,4,442,24,0.0041483734,0.12036609,0.8696389,0.8266054,60398,39
67,57.894737,7.04E-05,0.0013662,3,342,92,0.0059610577,0.23863815,0.8771312,0.898889,15747,28
64,79.16667,7.79E-05,0.0017487,3,360,71,0.0025512388,0.52217364,0.84632856,0.85831076,61873,24
73,92.61214,5.41E-05,0.0043509,3,379,14,0.009195829,0.48263258,0.87540424,0.8698139,44725,25
76,67.20779,8.84E-05,0.0016531,3,308,70,0.009081806,0.20304039,0.81339246,0.87173754,94179,30
79,82.678986,5.35E-05,0.0056411,3,433,12,0.002983717,0.29416108,0.8838544,0.9987786,15591,24
73,81.84818,6.88E-05,0.00262,4,303,57,0.0029662468,0.4666046,0.82936424,0.9277697,11932,43
76,75.14124,5.27E-05,0.0027182,4,354,47,0.0022508767,0.39969888,0.8414812,0.92730165,39925,26
79,81.462135,8.79E-05,0.0026376,4,383,69,0.005370632,0.35167918,0.88887537,0.9402502,73792,50
66,66.08695,7.82E-05,0.0028995,4,345,50,0.0016037322,0.1746665,0.8454381,0.8045454,98348,45
78,87.414185,7.18E-05,0.0048092,5,437,40,0.008792326,0.21940188,0.8547769,0.87625,74920,45
80,85.15406,6.33E-05,0.0046667,5,357,30,0.0041416376,0.384201,0.8233472,0.93119526,34351,40
82,84.53608,5.17E-05,0.0035676,5,388,39,0.008179047,0.18081509,0.81776303,0.823028,51583,33
62,71.51767,7.55E-05,0.0027236,3,481,80,0.0015509821,0.21498065,0.8145375,0.9939517,22744,43
82,89.238846,6.57E-05,0.0036475,4,381,37,0.00502322,0.42434534,0.8879725,0.92573947,67505,37
69,80.72289,6.8E-05,0.0071681,4,415,13,0.0022249676,0.34035543,0.83574677,0.86026347,87785,26
81,76,0.000105,0.0032843,5,425,86,0.008145009,0.3339682,0.8716762,0.8333556,40965,45
74,79.27631,6.87E-05,0.0025018,5,304,90,0.004540174,0.41389138,0.82845753,0.9960526,23006,42
82,95.679016,5.72E-05,0.0115224,5,486,10,0.0085956985,0.4722777,0.85693234,0.92219985,36277,25
77,77.565636,6.91E-05,0.0028365,4,419,75,0.0039880425,0.11993939,0.8198424,0.9954409,71222,48
82,90.53709,7.08E-05,0.0031154,3,391,30,0.0063295234,0.46602693,0.8639751,0.94216514,61731,36
73,78.94737,6.87E-05,0.0023673,5,323,95,0.005097506,0.23296182,0.8313764,0.96761036,48112,37
74,84.61539,5.79E-05,0.0035213,4,442,41,0.0054918244,0.16983488,0.81825703,0.85171944,70372,32
76,84.84849,5.38E-05,0.0025335,5,330,60,0.007841506,0.5369162,0.85827684,0.9556733,77837,21
77,90.909096,0.0001461,0.0060377,5,440,36,0.004751696,0.1555896,0.86086035,0.8388385,39836,46
83,86.44986,0.0003547,0.0074302,4,369,31,0.008521561,0.51561433,0.84856075,0.90757513,98768,35
74,86.5625,0.0001877,0.0061277,5,320,79,0.00267554,0.48120758,0.81825525,0.80336374,29298,31
70,68.94737,9.2E-05,0.0041697,4,380,78,0.0059220186,0.18633568,0.83929986,0.95988494,56655,33
83,90.4878,0.0001144,0.004949,3,410,29,0.006713207,0.24238943,0.8311088,0.8694562,60156,36
70,75.98685,0.0001192,0.0035062,4,304,96,0.0037607467,0.27964303,0.8783601,0.96646637,73202,21
82,94.57701,0.0001885,0.0074304,5,461,44,0.00986418,0.5992189,0.89308685,0.87501186,42018,30
79,90.21277,0.0001977,0.009773,5,470,34,0.0055508497,0.49922863,0.8318646,0.94813836,97645,35
84,82.494,0.0001257,0.0058293,5,417,75,0.005962576,0.31938162,0.80296725,0.8403709,41536,29
78,87.89144,6.71E-05,0.0037104,3,479,36,0.009516535,0.44455224,0.8934737,0.90531844,44798,34
76,90.17857,0.0001182,0.0032735,5,336,46,0.0058524897,0.38100964,0.8610344,0.84210455,45884,35
77,88.679245,7.32E-05,0.0046773,4,424,32,0.00329611,0.53555655,0.87098265,0.92110425,73659,35
68,73.31888,9.6E-05,0.0037008,3,461,53,0.0014678384,0.45121613,0.8431828,0.9276559,539,38
79,88.0814,9.06E-05,0.0042242,5,344,32,0.007856538,0.40474766,0.82890594,0.9200917,25433,21
79,89.090904,8.02E-05,0.0052808,3,330,13,0.0050045727,0.46317694,0.82471603,0.9382146,26887,45
77,91.43577,8.01E-05,0.0027408,5,397,98,0.0043216906,0.596466,0.80751246,0.8674693,19506,26
79,90.35812,5.93E-05,0.0069081,5,363,13,0.0062287096,0.19990425,0.8648114,0.81840396,37320,21
60.000004,56.282722,7.15E-05,0.0016592,3,382,79,0.0022644291,0.1541939,0.8558823,0.874098,815,36
79,82.53521,4.57E-05,0.0039046,5,355,30,0.005368283,0.2269114,0.8271683,0.85393566,54083,22
79,83.05556,0.0001147,0.0034977,3,360,20,0.0031907544,0.26478568,0.8916472,0.9110824,76261,35
72,77.3842,0.0001108,0.0032541,4,367,49,0.0018404371,0.42973945,0.87754273,0.9139061,61486,29
70,66.853935,7.31E-05,0.001724,3,356,73,0.004976264,0.34774575,0.80991375,0.98248976,79821,41
70,72.60274,6.46E-05,0.0025029,4,365,63,0.003327755,0.28881854,0.8344412,0.9840551,1262,28
85,88.88889,6.11E-05,0.0041701,4,414,36,0.00626275,0.40206885,0.81192577,0.9505855,89622,38
61,75.675674,7.19E-05,0.0025811,4,333,46,0.00233112,0.21006842,0.8410743,0.8163735,12267,25
80,92.799995,5.81E-05,0.0027674,5,375,75,0.00563221,0.21952339,0.8421259,0.8258613,97004,34
77,58.375633,6.2E-05,0.0015883,3,394,99,0.0066579347,0.47485784,0.8463246,0.89760184,19480,49
78,87.706856,6.24E-05,0.004246,5,423,37,0.0038053775,0.5126926,0.891031,0.8938177,64590,22
70,70.22654,8.13E-05,0.0027123,5,309,66,0.0025124548,0.23042984,0.8375186,0.9589662,38389,40
79,84.27673,6.86E-05,0.0028722,3,477,63,0.009851946,0.34286597,0.81258196,0.88271874,74715,43
